Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
28395;610,291;208,178116708527;173,888747041636;1,19719142411602;0,549812187138347;28715;190,141097274511;0,763922518159806;0,988855998607;0,958027126250128;0,913357754795763;0,007331506135183;0,003147289167336;0,834222388245557;0,998723889013168;SEKER
28734;638,018;200,524795663648;182,734419351024;1,09735646068106;0,41178525136724;29172;191,272750485845;0,783968132707629;0,984985602632661;0,887033636552887;0,953860842260513;0,006978659276942;0,003563623712101;0,909850506397935;0,998430331449707;SEKER
29380;624,11;212,826129860206;175,931142612714;1,20971265632436;0,562727316750412;29690;193,41090409881;0,778113247523704;0,989558773997979;0,947849473016411;0,908774238510331;0,007243911840034;0,003047733217213;0,825870616580032;0,999066137363272;SEKER
30008;645,884;210,557998960925;182,516515695305;1,15363805932189;0,498615976402717;30724;195,467061824781;0,782681272822118;0,976695742741831;0,903936374317338;0,928328834759944;0,007016728837674;0,00321456207939;0,861794425446755;0,99419884850682;SEKER
30140;620,134;201,847882166738;190,279278786648;1,06079801990978;0,333679657773177;30417;195,896502976234;0,77309803519212;0,990893250484926;0,984877069350909;0,970515523241471;0,006697010025439;0,003664971964452;0,941900380852666;0,999166058960777;SEKER
30279;634,927;212,560556425386;181,510181599753;1,17106684898868;0,520400660291264;30600;196,347702240276;0,775688484693224;0,989509803921569;0,943851783250593;0,923725951522894;0,0070200652738;0,003152778738995;0,853269633516877;0,999235781060338;SEKER
30477;670,033;211,05015532184;184,039050112943;1,1467683363521;0,489477894457261;30970;196,988633187028;0,762401500938086;0,984081369066839;0,853079868774835;0,933373552303864;0,006924899278861;0,003242016245377;0,871186188140334;0,999048735626615;SEKER
30519;629,727;212,996755056346;182,737203764065;1,16559053476242;0,513759557963588;30847;197,124320330528;0,770681818181818;0,989366875222874;0,96710924399015;0,925480391841559;0,006979152497013;0,003158285146363;0,856513955683206;0,998344559636264;SEKER
30685;635,681;213,534145164516;183,157146295974;1,16585210832808;0,514080860347291;31044;197,659696018684;0,771561478501383;0,988435768586523;0,954239807502237;0,925658497690839;0,006958909733242;0,003151549518812;0,856843654347261;0,998952980928294;SEKER
30834;631,934;217,227812764409;180,897468573821;1,20083390042444;0,553642224684322;31120;198,13901211615;0,783682805947388;0,990809768637532;0,970278230120595;0,912125429956056;0,007045074034002;0,00300803981212;0,83197279997252;0,999061142438045;SEKER
30917;640,765;213,560089393098;184,439870859033;1,15788461788895;0,504102365412161;31280;198,405511527722;0,770805285464971;0,988395140664962;0,94625817993264;0,92903834275195;0,006907529494877;0,0031742202948;0,86311224230329;0,999384388874616;SEKER
31091;638,558;210,486254870828;188,32684762014;1,1176646215381;0,446621923566855;31458;198,963038490472;0,786377317449478;0,988333651217496;0,958172835629964;0,945254304669785;0,00677000594612;0,003333983668368;0,893505700496759;0,998639710587848;SEKER
31107;640,594;214,648548507602;184,969252585646;1,16045529463451;0,507365875296869;31423;199,014226923797;0,761046141801634;0,989943671832734;0,952581756919709;0,927163161863865;0,006900329459852;0,003145388256978;0,8596315287174;0,997563958934867;SEKER
31158;642,626;216,484836208562;183,64431215612;1,17882679657687;0,529514250950734;31492;199,17730225821;0,798759228876128;0,989394131843008;0,948119004016837;0,920051980298156;0,006947969581121;0,003071051708239;0,846495646450557;0,997871751221581;SEKER
31158;641,105;212,0669751385;187,192960068368;1,13287900923757;0,469924156725518;31474;199,17730225821;0,781313473256601;0,989959966956853;0,952623101345308;0,939218858231592;0,006806180600119;0,003267009878452;0,882132063657855;0,9993488982934;SEKER
31178;636,888;212,975925175588;186,56208823219;1,14158201804926;0,482352224460347;31520;199,241216935033;0,764110482072397;0,989149746192894;0,965899596025826;0,935510512612018;0,006830968156251;0,003227429112569;0,875179919207602;0,999089658325205;SEKER
